tyre_code,ply_rating,speed_rating_mph,rated_load_lbs,inflation_pressure_psi,tire_mass_lbs,nitrogen_mass_lbs,do_max_in,ds_max_in,w_max_in,ws_max_in,aspect_ratio,static_radius_min_in,static_radius_max_in,wheel_size,rim_width_in,rim_diameter_in,flange_height_in,min_ledge_width_in
50x20.0R22,26,235,"45,200",177,,15.7,51.75,48.8,20.8,18.75,0.7,20.83,21.9,50x20.0R22,15,22,1.88,3.15
46x17.0R20,30,225,"46,000",222,181,13.9,47.5,44.75,17.7,15.95,0.77,19.2,20.15,46x16,13.25,20,1.88,3.7
49x17.0R20,30,225,"48,145",200,,14.7,50.26,44.21,17.94,15.08,0.84,20.05,21.15,49x17,13.25,20,1.88,3.95
H44.5x16.5R21,30,235,"48,400",230,,12.6,45.95,43.45,17.2,15.45,0.72,18.45,19.35,H44.5x16.5R21,10.5,21,1.6,3.4
45x18.0R17,36,235,"50,300",216,,14.6,46.6,43.65,18.75,16.85,0.78,18.45,19.5,45x18.0R17,14,17,2.13,4.2
49x17.0R20,32,225,"50,400",210,,15.4,50.26,44.21,17.94,15.08,0.84,20.05,21.15,49x17,13.25,20,1.88,3.95
1270x455R22,30,225,"50,900",219,,17.1,51.55,48.6,18.75,15,0.78,20.5,21.55,49x18.0-22,13.75,22,1.88,3.75
47x15.75R22.1,32,279,"51,500",223,,13.9,49.37,47.64,16.7,11.28,0.82,,20.25,,12.75,22.1,1.75,3.75
H44.5x16.5R21,32,235,"51,675",246,,13.4,45.95,43.45,17.2,15.45,0.72,18.5,19.35,H44.5x16.5R21,10.5,21,1.6,3.4
1270x455R22,32,225,"54,800",235,,18.2,51.55,48.6,18.75,15,0.78,20.5,21.55,49x18.0-22,13.75,22,1.88,3.95
50x20.0R22,32,235,"57,100",220,222,19.2,51.75,48.8,20.8,18.75,0.7,20.83,21.9,50x20.0R22,15,22,1.88,3.15
1400x530R23,32,235,"61,300",202,266,22.8,56.85,53.45,21.7,19.1,0.76,22.35,23.6,1400x530R23,16.25,23,2,3.8
50x20.0R22,34,,"61,525",244,,21.2,51.75,48.8,20.8,18.75,0.7,20.83,21.9,50x20.0R22,15,22,1.88,3.15
52x21.0R22,36,235,"66,500",227,,22.9,53.85,50.7,21.85,19.7,0.71,21.6,22.75,52x21.0R22,16,22,2.13,3.75
52x21.0R22,38,245,"68,000",236,,23.7,53.85,50.7,21.85,19.7,0.72,21.6,22.75,52x21.0R22,16,22,2.25,3.75
1400x530R23,36,235,"68,500",223,281,25,56.85,53.45,21.7,19.1,0.76,22.35,23.6,1400x530R23,16.25,23,2,4.2
54x21.0R23,38,235,"71,200",236,272,25.4,55.85,52.6,21.85,19.7,0.74,22.55,23.7,54x21.0R23,16.25,23,2.38,3.98
1400x530R23,40,235,"74,950",249,302,27.7,56.85,53.45,21.7,19.1,0.76,22.35,23.6,1400x530R23,16.25,23,2.5,3.5
1400x530R23,42,235,"79,300",263,277,29.2,56.85,53.45,21.7,19.1,0.76,22.35,23.6,1400x530R23,16.25,23,2.5,3.5
